Key,Type,Desc,English,French,Italian,German,Spanish,Japanese,Korean,Polish,Russian,Chinese-Simplified [zh-CN],Portuguese-Brazil [pt-BR],Chinese-Traditional [zh-TW],Pirate English [en-PI],Serbian,Swedish,Romanian,$Context,$Status
Science/Experiments/CrewObservation/Data/Flavor/Kerbin_Landed_KerbinKSC,Text,,"Mission Control, we are ready for lift-off!","Contrôle mission, nous sommes parés au décollage !",Nessun posto è bello come la nostra casa.,"Missionskontrolle, wir sind startbereit!","Control de misión, ¡Estamos listos para el despegue!",我が家にまさる場所はなし、です。,집만한 곳이 없죠.,"Kontrola Misji, jesteśmy gotowi do startu!","ЦУП, мы готовы ко взлёту!",任务控制中心，我们准备好发射了！,"Controle da Missão, estamos pronto para a decolagem!",家果然還是最棒的。,"Mission Control, we be ready fer lift-off!","контрола мисије,спремни смо за лансирање!","Mission Control, we are ready for lift-off!","Controlul Misiunii, suntem gata pentru decolare!",,Localized
Science/Experiments/CrewObservation,Text,,Crew Observation,Observation de l'équipage,Ispezione visiva,Crew-Beobachtung,Supervisión de tripulación,クルーの観察,승무원 관측,Obserwacje załogi,Наблюдения экипажа,乘员观测,Observação da tripulação,機組人員觀察,Crew Observation,Посматрања посаде,Crew Observation,Crew Observation,,Localized
Science/Experiments/CrewObservation/Data/ReportName,Text,,Crew Observations,Observations de l'équipage,Ispezioni visive,Crew-Beobachtungen,Observaciones de la tripulación,クルーの観察,승무원 관측,Spostrzeżenia załogi,Наблюдения экипажа,乘员观测,Observações da tripulação,機組人員觀察,Crew Observations,Запажања посаде,Crew Observations,Crew Observations,,Localized
Science/Experiments/CrewReport,Text,,Crew Report,Rapport d'équipage,Rapporto equipaggio,Crewbericht,Informe de la tripulación,クルーレポート,승무원 보고서,Raport załogi,Доклад экипажа,乘员报告,Relatório da tripulação,機組人員報告,Crew Report,Извештај посаде,Crew Report,Crew Report,,Localized
Science/Experiments/CrewReport/Data/ReportName,Text,,Crew Report,Rapport d'équipage,Rapporto equipaggio,Crewbericht,Informe de la tripulación,クルーレポート,승무원 보고서,Raport załogi,Доклад экипажа,乘员报告,Relatório da tripulação,機組人員報告,Crew Report,Извештај посаде,Crew Report,Crew Report,,Localized
Science/Experiments/SurfaceSurvey/Data/ReportName,Text,,Surface Sample Data,Données d'échantillon de surface,Dati del campione di superficie,Oberflächenproben-Daten,Datos de muestra de superficie,表面サンプルデータ,표면 샘플 데이터,Dane próbki powierzchni,Образцы грунта,地表样本数据,Dados de amostra de superfície,表面樣本資料,Surface Sample Data,Подаци о површинским узорцима,Surface Sample Data,Surface Sample Data,,Localized
Science/Notifications/ExperimentLeftValidRegion,Text,,Left valid region,Sortie de région valide,Regione valida abbandonata,Gültige Region verlassen,Región izquierda válida,有効なエリアの圏外に出ました,유효 지역 벗어남,Opuszczono odpowiedni region,За пределами нужной области,已离开有效区域,Saiu da região válida,離開有效區域,Left valid region,Напстили сте важећи регион,Left valid region,Left valid region,,Localized
Science/Regions/DresDoubleArch,Text,,The Struts,Les Étais,I Puntoni,Die Streben,Los pilares,ストラット,스트럿,Rozpory,Стойки,支柱,As Estruturas,支柱,The Struts,лукови,The Struts,The Struts,,Localized
Science/Experiments/CrewObservation/Data/Flavor/Dres_Landed_DresRamp,Text,,"This is such an awesome ramp. Mission Control is going to hate me for this, but I need to try it as soon as possible!","Cette rampe est trop bien ! Le Contrôle mission va me détester, mais il faut absolument que je la teste au plus vite !","Questa rampa è incredibile. Al Controllo Missioni mi odieranno per questo, ma devo provarla al più presto!","Eine grandiose Rampe. Das Missionszentrum wird mich zwar dafür hassen, aber ich muss sie sobald wie möglich ausprobieren!","Vaya pedazo de rampa. Los de Control de misión me van a poner a caldo, ¡pero tengo que probarla a la de ya!",これはなんとも素晴らしい傾斜です。ミッションコントロールセンターに怒られるだろうけど、今すぐにでも試してみないと！,"멋진 경사로입니다. 우주 비행 관제소에서는 좋아하지 않겠지만, 가능한 빨리 해야 합니다!","To absolutnie niesamowita rampa. W kontroli misji mnie znienawidzą, ale muszę ją jak najszybciej wypróbować!","Это просто потрясающий склон. Центр Аэрокосмических Программ будет в ярости, но мне нужно как можно скатиться по нему!",这是一条很厉害的斜坡。任务控制中心会因此讨厌我的，但我需要尽快试一试！,"Essa rampa é demais. O Controle de Missão vai me detestar por isso, mas eu tenho que experimentar o quanto antes!",這斜道也太讚了吧！地面控制中心一定會罵死我，但我一定要趕快試試看！,"This is such an awesome ramp. Mission Control is going to hate me for this, but I need to try it as soon as possible!","This is such an awesome ramp. Mission Control is going to hate me for this, but I need to try it as soon as possible!","This is such an awesome ramp. Mission Control is going to hate me for this, but I need to try it as soon as possible!","This is such an awesome ramp. Mission Control is going to hate me for this, but I need to try it as soon as possible!",,Localized
Science/Experiments/EnvironmentSurvey/Sample/Flavor/Kerbol_HighOrbit,Text,,"Our collectors combed charged particles from Kerbolar winds out here. Trace helium-3 in the sample, present in the outer layers of Kerbol, unchanged since the system formed. Rare stuff.","Nos collecteurs ont capté ici des particules chargées issues des vents kerbolaires. L'échantillon contient des traces d'hélium 3, présent dans les couches externes de Kerbol et resté inchangé depuis la formation du système. Une denrée rare.","I nostri raccoglitori hanno setacciato le particelle cariche portate dal vento kerbolare fin lassù. Nel campione ci sono tracce di elio-3 provenienti dagli strati più esterni di Kerbol, rimaste inalterate fin dalla formazione del sistema. Roba rara da queste parti.",Das Labor untersucht mehrere Sonneneruptionen. Explosiv!,"Nuestros recolectores analizaron partículas cargadas de los vientos Kerbolares aquí. Trazas de helio-3 en la muestra, presentes en las capas externas de Kerbol, sin cambios desde que el sistema se formó. Raro",研究室では太陽フレアを調査しています。きらっきらだね！,연구실에서 여러 개의 태양 플레어를 조사하고 있습니다. 눈부셔요!,Laboratorium bada kilka rozbłysków słonecznych. Ale się błyszczą!,"Наши коллекторы уловили заряженные частицы из кербольского ветра прямо здесь. В образце следы гелия-3, который присутствует во внешних слоях Кербола и не изменился с момента формирования системы. Редкая штука.",我们的收集器在这里从Kerbol太阳风中采集带电粒子。样本中含有微量的氦-3，这些氦-3存在于Kerbol的外层，自星系形成以来从未改变。真是稀罕之物。,O laboratório está investigando várias erupções solares. Que brilho!,實驗室正在研究幾個太陽耀斑。真是耀眼！,"Our collectors combed charged particles from Kerbolar winds out here. Trace helium-3 in the sample, present in the outer layers of Kerbol, unchanged since the system formed. Rare stuff.","Our collectors combed charged particles from Kerbolar winds out here. Trace helium-3 in the sample, present in the outer layers of Kerbol, unchanged since the system formed. Rare stuff.","Our collectors combed charged particles from Kerbolar winds out here. Trace helium-3 in the sample, present in the outer layers of Kerbol, unchanged since the system formed. Rare stuff.","Our collectors combed charged particles from Kerbolar winds out here. Trace helium-3 in the sample, present in the outer layers of Kerbol, unchanged since the system formed. Rare stuff.",,Localized
